,Unnamed: 0,tile_id,year,conflict_intensity,crop_change_ha,crop_change_pct
953,953,368946_1488825,2022,0.5703619433379417,-1821.3647058823499,-10.671367930921804
954,954,368946_1513825,2022,0.4827968527037499,553.128235294118,18.936130310947895
955,955,368946_1538825,2022,0.0,2059.509333333331,71.5381578566316
956,956,368946_1563825,2022,0.4150054324736009,-1007.2410588235289,-28.451093327348744
957,957,368946_1588825,2022,0.5909387538783856,-825.3210980392168,-15.870952627445167
958,958,368946_1613825,2022,11.70735023673349,142.3062352941197,2.890457983679595
959,959,368946_1638825,2022,5.144877906123448,132.95149019607925,1.960869370000684
960,960,393946_1113825,2022,0.0,63.532745098036685,0.2672870136559702
961,961,393946_1138825,2022,0.0,-821.9414509803901,-2.3322947337569233
962,962,393946_1163825,2022,0.0,-1470.2556862744968,-2.9546822767096637
963,963,393946_1188825,2022,0.0,-2372.7293725490235,-4.980738601713474
964,964,393946_1213825,2022,0.0,-1690.1484705882176,-3.930322620308946
965,965,393946_1238825,2022,0.0,-722.9022352941101,-5.782710418899272
966,966,393946_1263825,2022,0.0,-1600.255215686273,-7.174968874656528
967,967,393946_1288825,2022,0.0,-2118.2732549019565,-4.818520383715919
968,968,393946_1313825,2022,0.060363303896943,-1712.8706666666549,-4.203887852771581
969,969,393946_1338825,2022,0.0461775869398717,-1089.6899215686608,-3.832867385930472
970,970,393946_1363825,2022,0.0,-2725.030549019597,-9.850370973605582
971,971,393946_1388825,2022,0.0,-5244.235725490196,-24.31366447830856
972,972,393946_1413825,2022,0.0,-3383.0980784313733,-44.84198905066228
973,973,393946_1438825,2022,0.0,-583.2234117647058,-7.1744048720163045
974,974,393946_1463825,2022,0.0,-922.2417647058937,-4.202505130095757
975,975,393946_1488825,2022,2.1275523968642176,359.29650980392034,1.9717705966714183
976,976,393946_1513825,2022,16.39894449276892,-1373.6375294117624,-8.278463415492743
977,977,393946_1538825,2022,0.0,556.3945098039212,7.410893032756838
978,978,393946_1563825,2022,0.5713567336341328,-208.71121568627677,-2.4376733047764554
979,979,393946_1588825,2022,0.4744142357385344,-494.4119607843113,-5.674134352583704
980,980,393946_1613825,2022,7.670033414839539,-674.0662745098043,-26.547582546415793
982,982,418946_1138825,2022,0.0,-1471.0738431372083,-8.396302102355968
983,983,418946_1163825,2022,0.0,-1733.4372941176516,-6.27452673817146
984,984,418946_1188825,2022,0.0,-1148.8038823529369,-7.783491319166346
985,985,418946_1213825,2022,0.0,-1235.580117647085,-6.021912129091545
986,986,418946_1238825,2022,0.0,242.22976470588765,3.3907412601320353
987,987,418946_1263825,2022,0.0,-2225.9635686274505,-14.626436041816572
988,988,418946_1288825,2022,0.6700830119578685,-2835.833019607777,-10.980636971417967
989,989,418946_1313825,2022,1.3910690404163155,-3131.82756862745,-8.343750692947848
990,990,418946_1338825,2022,0.0,-1502.2946666666649,-10.72206871193735
991,991,418946_1363825,2022,0.0,-4461.946470588238,-32.793408318170115
992,992,418946_1388825,2022,0.0,-4349.545294117645,-39.21073091967576
993,993,418946_1413825,2022,0.0,-1993.9147843137248,-47.262186432870315
